date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-06-14, 13:06:38	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:06:40	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:06:42	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:06:44	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:06:46	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:06:48	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:06:50	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:06:52	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:06:54	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:06:56	0 Hz	0 W	3,6E0 mbar	3,3E0 mbar
2021-06-14, 13:06:58	0 Hz	0 W	3,6E0 mbar	3,3E0 mbar
2021-06-14, 13:07:00	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:02	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:04	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:06	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:08	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:10	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:12	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:14	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:16	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:18	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:20	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:22	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:24	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:26	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:28	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:30	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:32	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:34	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:36	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-06-14, 13:07:38	0 Hz	0 W	3,6E0 mbar	3,3E0 mbar
2021-06-14, 13:07:40	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:07:42	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:07:44	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:07:46	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:07:48	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:07:50	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:07:52	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:07:54	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:07:56	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:07:58	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:00	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:02	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:04	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:06	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:08	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:10	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:12	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:14	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:16	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:18	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:20	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:22	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:24	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:26	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:28	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:30	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:32	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:34	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:36	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:38	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:40	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:42	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:44	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:46	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:48	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:50	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:52	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:54	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:56	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:08:58	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:09:00	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:09:02	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:09:04	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:09:06	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:09:08	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:09:10	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:09:12	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:09:14	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:09:16	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:09:18	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:20	0 Hz	0 W	3,7E0 mbar	3,4E0 mbar
2021-06-14, 13:09:22	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:24	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:26	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:28	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:30	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:32	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:34	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:36	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:38	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:40	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:42	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:44	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:46	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:48	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:50	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:52	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:54	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:56	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:09:58	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:00	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:02	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:04	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:06	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:08	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:10	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:12	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:14	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:16	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:18	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:20	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:22	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:24	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:26	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:28	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:30	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:32	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:34	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:36	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:38	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:40	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:42	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:44	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:46	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:48	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:50	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:52	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:54	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:56	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:10:58	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:00	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:02	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:04	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:06	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:08	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:10	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:12	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:14	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:16	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:18	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:20	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:22	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:24	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:26	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:28	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:30	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:32	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:34	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:36	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:11:38	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
